cell_km,medoid_rank,consensus_rank,species,occurrence_rows,unique_locations,duplicate_rows,occupied_cells,occupied_area_km2,centroid_x_km,centroid_y_km,mean_pairwise_jsd,jsd_to_consensus
20,67,83,Gentiana clusii,3807,3807,0,340,136000,101.26219804269681,-542.9199971748311,0.7393647031597081,0.5449521316551266
20,68,52,Sagina saginoides,5238,5238,0,1059,423600,13.892910088380315,480.97347977381315,0.7404814124842919,0.47983016294872527
20,69,96,Arenaria biflora,1205,1205,0,165,66000,-54.6960316632157,-634.5407597635559,0.7406005804807482,0.581787283601252
20,70,54,Veronica alpina,11143,11143,0,1080,432000,35.03277510257842,629.9833583206469,0.7474227173770911,0.49115293821725114
20,71,97,Scorzoneroides helvetica,2706,2706,0,256,102400,79.76167497705656,-568.9547766059584,0.7480555275537621,0.5825597479349353
20,72,106,Arabis caerulea,723,723,0,134,53600,-45.80122712803017,-625.0763908828823,0.7488755075807981,0.6013886733799183
20,73,78,Fumana procumbens,6098,6098,0,828,331200,-438.4023932279705,-834.1495251186178,0.7491259977935366,0.5356849260416802
20,74,91,Helianthemum alpestre,1627,1627,0,220,88000,133.6324172862946,-558.8537714830304,0.7499884664297327,0.574400122593916
20,75,98,Achillea atrata,1475,1475,0,181,72400,96.39354033458002,-548.9442121699548,0.7534062031644937,0.588824814935217
20,76,20,Galium verum,112708,112708,0,9185,3674000,-96.45614322421423,77.82982394698338,0.7553843468926493,0.39600711828215734
20,77,73,Polygala comosa,6414,6414,0,2025,810000,441.657697759013,-185.69840746529576,0.7557843179040384,0.5177805336753163
20,78,93,Trinia glauca,3593,3593,0,493,197200,-365.58775230373743,-803.5078014068687,0.7605658756545167,0.5754522199968869
20,79,85,Hieracium alpinum,3197,3197,0,582,232800,63.168088326833676,62.176248554394576,0.76123924559706,0.5536152491292957
20,80,86,Koeleria vallesiana,10872,10872,0,681,272400,-619.4907185065732,-1019.7014488080162,0.7656580366094968,0.5561603666900089
20,81,100,Carex firma,2268,2268,0,227,90800,195.37617348407883,-523.3123693438262,0.7659860417852503,0.5896400712686384
20,82,66,Micranthes stellaris,13476,13476,0,1288,515200,-33.22922362027195,575.0982681794038,0.7682061041422645,0.5123351874562113
20,83,103,Helianthemum italicum,6489,6489,0,310,124000,-314.86483509903866,-845.56880907395,0.768515381302814,0.5992266250101131
